,L,lambda,sd,NRMSE,median,R1
263,5.0,0.5,0.08,0.9910411695265251,-0.6001222039348157,0.9864303176217946
264,5.0,0.5,0.12,1.0145369258660828,-0.19823101635727539,0.9659678341332648
265,5.0,0.5,0.18,1.8990267134475893,0.0006282793265246992,0.9033066547960386
266,5.0,0.5,0.28,1834.3366398869612,-0.08951299527030959,0.5524534325260658
267,5.0,0.5,0.42,2588.2855346714337,0.04103784874009603,0.17121382571422247
268,5.0,0.5,0.65,3005.6892687558507,0.11935508377701476,0.06608773387425487
269,5.0,0.5,1.0,1865.008461748336,0.09187770240015625,0.1367932224627792
270,5.0,1.0,0.0,1.0558560989899597,-1.1627574286042368e-05,1.0
271,5.0,1.0,0.05,0.9671903413721656,-0.38764999456433274,0.9987711828748902
272,5.0,1.0,0.08,0.9670826879387772,-0.2776000573133767,0.9967426504695712
273,5.0,1.0,0.12,0.9576639466521748,-0.5518614480583675,0.9922432551741507
274,5.0,1.0,0.18,0.9413759099794788,-0.3954058900873854,0.9822390758777
275,5.0,1.0,0.28,0.9174022781143535,-0.2104914334158003,0.9485594033626478
276,5.0,1.0,0.42,3.5648349296443156,0.0006210804667936753,0.8426910460608333
277,5.0,1.0,0.65,6466.832374470895,0.002242101596352632,0.26039622683263436
278,5.0,1.0,1.0,5138.88490443343,-0.028988457990976046,0.127807009589556
279,5.0,2.0,0.0,1.0558716130507335,-5.816594832787855e-06,1.0
280,5.0,2.0,0.05,0.9293420139804064,-0.8717244930845758,0.9996937714018628
281,5.0,2.0,0.08,0.9322376926489988,-0.29177810117439634,0.9991931491003683
282,5.0,2.0,0.12,0.9320643331073633,-0.2435369605642737,0.9980990904304938
283,5.0,2.0,0.18,0.9206849718253145,-0.3477867284175915,0.9957691297901775
284,5.0,2.0,0.28,0.8442054410538681,-0.6388989543164225,0.9889636175204441
285,5.0,2.0,0.42,0.8421667290488923,-0.03071642037694211,0.9757260658163507
286,5.0,2.0,0.65,0.8417453991461057,-0.07476438870324069,0.9389984334104634
287,5.0,2.0,1.0,21.31033556311303,0.00014651789258603637,0.7151894967163602
288,5.0,3.0,0.0,1.0558527371027355,-3.882219363925216e-06,1.0
289,5.0,3.0,0.05,0.8895373454986389,-1.3035334920871913,0.999863980299683
290,5.0,3.0,0.08,0.8946331856407099,-0.453600343312689,0.9996419989826226
291,5.0,3.0,0.12,0.8953900295645543,-0.2666712761002713,0.9991582070443548
292,5.0,3.0,0.18,0.8936548082332634,-0.1929921355581717,0.998134893026106
293,5.0,3.0,0.28,0.8321956331395852,-0.6490822476207213,0.995208202536782
294,5.0,3.0,0.42,0.764647800432357,-0.19243647922738877,0.9897444499923289
295,5.0,3.0,0.65,0.73801931340092,0.15174757317995824,0.9769415414652192
296,5.0,3.0,1.0,0.7199921168848352,-0.07504524976311452,0.9291455260672971
297,5.0,4.0,0.0,1.05584542424854,-2.8934101293142576e-06,0.9999999999999999
298,5.0,4.0,0.05,0.8498343172786159,-1.6041175978171278,0.9999235060008859
299,5.0,4.0,0.08,0.8556752969174302,-0.5739617194525015,0.9997987427057683
300,5.0,4.0,0.12,0.8570987607151631,-0.324142200310224,0.9995270986131304
301,5.0,4.0,0.18,0.8567951269663286,-0.15732893873149334,0.9989537973578494
302,5.0,4.0,0.28,0.8316839015829555,-0.480408326392851,0.9973257333943847
303,5.0,4.0,0.42,0.7178272605699396,-0.4573290552043751,0.9943248438019989
304,5.0,4.0,0.65,0.6995853026603879,-0.09817222335307306,0.9875155298142417
305,5.0,4.0,1.0,0.6415384697346621,-0.3029783892876096,0.9656412008759019
306,5.0,4.5,0.0,1.055865607347217,-2.592052821962181e-06,0.9999999999999998
307,5.0,4.5,0.05,0.8305865364700988,-1.7217538841142703,0.9999395641610164
308,5.0,4.5,0.08,0.8360819212250382,-0.6318432560189797,0.9998410073644893
309,5.0,4.5,0.12,0.8377002324650797,-0.3701675468623159,0.9996264807688554
310,5.0,4.5,0.18,0.8377497096308286,-0.1742093597232321,0.9991739856682799
311,5.0,4.5,0.28,0.821423758602688,-0.5027641591734073,0.9978914429927246
312,5.0,4.5,0.42,0.7160040130005069,-0.5405598115051629,0.9955352865839837
313,5.0,4.5,0.65,0.6683079888856821,-0.18808866373243682,0.9902299493383858
314,5.0,4.5,1.0,0.6399381035962207,-0.23201793554504344,0.9736373011839635
315,5.0,5.0,0.0,1.0558215906376613,-2.315507594069369e-06,1.0
316,5.0,5.0,0.05,0.8124611152704562,-1.8134381228941674,0.9999510492943691
317,5.0,5.0,0.08,0.8165558818260671,-0.7024339750622087,0.9998712308368246
318,5.0,5.0,0.12,0.8184482411944205,-0.40261604317885125,0.9996975261932726
319,5.0,5.0,0.18,0.8186626248047953,-0.16908463456640505,0.9993312826587366
320,5.0,5.0,0.28,0.8076903836397584,-0.38632240345092567,0.9982946354612967
321,5.0,5.0,0.42,0.7231872025316926,-0.47130524009939334,0.9963947000854468
322,5.0,5.0,0.65,0.6386551375461708,-0.190293948803817,0.9921391916628429
323,5.0,5.0,1.0,0.6341243149176338,-0.15477362559531876,0.9790572959169143
324,5.0,5.5,0.0,1.0559164656213154,-2.114038387371572e-06,1.0000000000000002
325,5.0,5.5,0.05,0.7953902614114912,-1.9432659164867319,0.9999595463419347
326,5.0,5.5,0.08,0.7973554891445557,-0.7727198408533862,0.9998935883619003
327,5.0,5.5,0.12,0.7993551481136779,-0.4523231025615856,0.9997500690289363
328,5.0,5.5,0.18,0.7997505404337302,-0.18236197170794916,0.9994475565762199
329,5.0,5.5,0.28,0.7920819105610382,-0.3249604065976289,0.9985921752072517
330,5.0,5.5,0.42,0.7291352614315939,-0.4798129755128011,0.9970271758129926
331,5.0,5.5,0.65,0.6128892335505048,-0.23797285231743617,0.9935351494356373
332,5.0,5.5,1.0,0.615732437159153,-0.17208069678236948,0.982927007694257
