,delay,k_scale,sd,NRMSE,median,R1
74,1.0,0.9,0.0824,0.21595318601550378,0.26696972246176953,0.9999986206135911
75,1.0,0.9,0.1357,0.25545821715598005,0.4229543888208691,0.9999951542847398
76,1.0,0.9,0.2236,0.23751569619151344,-0.27072562551867213,0.99998833741082
77,1.0,0.9,0.3684,0.25367038898508015,-0.02413361337526662,0.9999711004625038
78,1.0,0.9,0.607,0.2385812736275465,0.0779643225086083,0.9999152307138109
79,1.0,0.9,1.0,0.2517518644198069,0.38483756670487607,0.9997627408074165
80,1.0,1.0,0.0,0.18235043382686478,0.043829206435526125,0.9999999922064146
81,1.0,1.0,0.05,0.20863335745557204,-0.13110056334958056,0.9999994862113197
82,1.0,1.0,0.0824,0.20521017567858682,-0.05324039974341041,0.9999988684859809
83,1.0,1.0,0.1357,0.20941642975961652,0.08514206740557963,0.9999961835970579
84,1.0,1.0,0.2236,0.18243281345463988,-0.10420630907365079,0.9999896688108334
85,1.0,1.0,0.3684,0.18819728557073037,-0.08318639125921126,0.9999781053274097
86,1.0,1.0,0.607,0.19121041868195332,0.4200782410428172,0.9999267575145991
87,1.0,1.0,1.0,0.2160937521196128,-0.0485565016867513,0.9997985704559182
88,2.0,0.0,0.0,1.0109747523476345,0.00012082498275703755,0.12521413675461188
89,2.0,0.0,0.05,1.010981133862327,0.00011380001057610042,0.08230457869324107
90,2.0,0.0,0.0824,1.01098095140046,0.0001071290793967562,0.12857737278819326
91,2.0,0.0,0.1357,1.0109873921625285,7.806796827005842e-05,0.020557476965795896
92,2.0,0.0,0.2236,1.0109845023755952,4.4159713804117094e-05,0.1610034815940817
93,2.0,0.0,0.3684,1.0109923917507808,2.4671634263053294e-05,0.14061391009005786
94,2.0,0.0,0.607,1.0110238534270894,4.578965050229395e-06,0.21882186028039877
95,2.0,0.0,1.0,1.01118695591649,3.6054000218070773e-06,0.11621631942179964
96,2.0,0.1,0.0,0.9108872839818859,0.07908025768314006,0.9999999897708503
97,2.0,0.1,0.05,0.9117597467378756,0.30897477810271434,0.9999486751479967
98,2.0,0.1,0.0824,0.9075721212679774,0.45863404386770423,0.9998921375938677
99,2.0,0.1,0.1357,0.9053682500838156,0.5475669460140504,0.999621952026233
100,2.0,0.1,0.2236,0.9104751945989177,0.32880489219109016,0.9989857820457086
101,2.0,0.1,0.3684,0.9004363286410947,0.32235484462010355,0.9976478520348817
102,2.0,0.1,0.607,0.908412020727162,-0.26993957900046583,0.9924411382963642
103,2.0,0.1,1.0,0.8959781512317408,-0.024412241876562477,0.9783564256125605
104,2.0,0.2,0.0,0.8528580221506525,0.0004748174315316045,0.999999990436963
105,2.0,0.2,0.05,0.8497127604162901,-0.09623691747322952,0.999987037974081
106,2.0,0.2,0.0824,0.8549746689351341,-0.23744377903678654,0.9999737766972928
107,2.0,0.2,0.1357,0.8462872798376515,0.09992952746062975,0.9999030822178911
108,2.0,0.2,0.2236,0.8491044900516846,0.10321304943036524,0.9997636121777861
109,2.0,0.2,0.3684,0.8514329549793878,0.14050139558488736,0.9994399930737332
110,2.0,0.2,0.607,0.8527369774788924,0.13394463497641806,0.9981849561087058
111,2.0,0.2,1.0,0.8475289878051535,0.04314322745213911,0.9948195279302439
112,2.0,0.3,0.0,0.8383349605056507,0.06800696979981452,0.9999999907700011
113,2.0,0.3,0.05,0.8386564260866641,0.10846502160840964,0.9999943909169573
114,2.0,0.3,0.0824,0.8382889047108605,-0.14868915834910457,0.9999880372045954
115,2.0,0.3,0.1357,0.8397339606246822,0.048259251943340575,0.9999571430146394
116,2.0,0.3,0.2236,0.8382349728599463,-0.027425913421165293,0.9998911799300664
117,2.0,0.3,0.3684,0.8382749149771701,0.3084023349935274,0.9997488867085444
118,2.0,0.3,0.607,0.8381718720794821,0.152689917260097,0.9991990157883687
119,2.0,0.3,1.0,0.838250039986768,0.0641596751312285,0.9976776367118588
120,2.0,0.4,0.0,0.8394912955730057,-0.0840378380331126,0.9999999925996529
121,2.0,0.4,0.05,0.839354623273597,0.01734519210031648,0.999996759164016
122,2.0,0.4,0.0824,0.8396012370756697,-0.06710717592343701,0.9999930586683868
123,2.0,0.4,0.1357,0.8394942816309391,-0.0042261709100955835,0.9999754010377631
